state,,year,month,precipitation
AC,6/30/2016,2016,Jun,2
AC,7/31/2016,2016,Jul,11.7
AC,8/31/2016,2016,Aug,30.6
AC,9/30/2016,2016,Sep,80.2
AC,10/31/2016,2016,Oct,211.3
AC,11/30/2016,2016,Nov,169.9
AC,12/31/2016,2016,Dec,219.3
AC,1/31/2017,2017,Jan,405.2
AC,2/28/2017,2017,Feb,236.5
AC,3/31/2017,2017,Mar,419.8
AC,4/30/2017,2017,Apr,205.3
AC,5/31/2017,2017,May,101.6
AC,6/30/2017,2017,Jun,25.4
AC,7/31/2017,2017,Jul,24.6
AC,8/31/2017,2017,Aug,63.4
AC,9/30/2017,2017,Sep,84.4
AC,10/31/2017,2017,Oct,110.9
AC,11/30/2017,2017,Nov,213.2
AL,1/31/1998,1998,Jan,71.3
AL,2/28/1998,1998,Feb,17.6
AL,3/31/1998,1998,Mar,23.8
AL,4/30/1998,1998,Apr,101.3
AL,5/31/1998,1998,May,241
AL,6/30/1998,1998,Jun,162.2
AL,7/31/1998,1998,Jul,193.1
AL,8/31/1998,1998,Aug,181.5
AL,9/30/1998,1998,Sep,44.4
AL,10/31/1998,1998,Oct,36.6
AL,11/30/1998,1998,Nov,0.7
AL,12/31/1998,1998,Dec,16.3
AL,1/31/1999,1999,Jan,21.3
AL,2/28/1999,1999,Feb,42.2
AL,3/31/1999,1999,Mar,49.4
AL,4/30/1999,1999,Apr,44.9
AL,5/31/1999,1999,May,216.6
AL,6/30/1999,1999,Jun,208.9
AL,7/31/1999,1999,Jul,232.6
AL,8/31/1999,1999,Aug,137.7
AL,9/30/1999,1999,Sep,89.2
AL,10/31/1999,1999,Oct,160.1
AL,11/30/1999,1999,Nov,21.6
AL,12/31/1999,1999,Dec,33
AL,1/31/2000,2000,Jan,90
AL,2/29/2000,2000,Feb,151
AL,3/31/2000,2000,Mar,136
AL,4/30/2000,2000,Apr,404.2
AL,5/31/2000,2000,May,300.3
AL,6/30/2000,2000,Jun,235.4
AL,7/31/2000,2000,Jul,393.5
AL,8/31/2000,2000,Aug,300.2
AL,9/30/2000,2000,Sep,426.9
AL,10/31/2000,2000,Oct,64.2
AL,11/30/2000,2000,Nov,55.7
AL,1/31/2001,2001,Jan,27.6
AL,2/28/2001,2001,Feb,16.5
AL,3/31/2001,2001,Mar,64.4
AL,4/30/2001,2001,Apr,128.8
AL,5/31/2001,2001,May,49.9
AL,6/30/2001,2001,Jun,413.4
AL,7/31/2001,2001,Jul,271.2
AL,8/31/2001,2001,Aug,198.7
AL,9/30/2001,2001,Sep,52
