Ano,State,Month,Number,Date
2005,SC,Jun,58,1/1/2005
2006,SC,Jun,32,1/1/2006
2007,SC,Jun,11,1/1/2007
2008,SC,Jun,2,1/1/2008
2009,SC,Jun,14,1/1/2009
2010,SC,Jun,1,1/1/2010
2011,SC,Jun,26,1/1/2011
2012,SC,Jun,42,1/1/2012
2013,SC,Jun,31,1/1/2013
2014,SC,Jun,3,1/1/2014
2015,SC,Jun,104,1/1/2015
2016,SC,Jun,79,1/1/2016
2017,SC,Jun,70,1/1/2017
1998,SC,Jul,0,1/1/1998
1999,SC,Jul,2,1/1/1999
2000,SC,Jul,21,1/1/2000
2001,SC,Jul,5,1/1/2001
2002,SC,Jul,82,1/1/2002
2003,SC,Jul,43,1/1/2003
2004,SC,Jul,94,1/1/2004
2005,SC,Jul,90,1/1/2005
2006,SC,Jul,74,1/1/2006
2007,SC,Jul,12,1/1/2007
2008,SC,Jul,46,1/1/2008
2009,SC,Jul,26,1/1/2009
2010,SC,Jul,31,1/1/2010
2011,SC,Jul,31,1/1/2011
2012,SC,Jul,42,1/1/2012
2013,SC,Jul,69,1/1/2013
2014,SC,Jul,82,1/1/2014
2015,SC,Jul,45,1/1/2015
2016,SC,Jul,480,1/1/2016
2017,SC,Jul,591,1/1/2017
1998,SC,Aug,0,1/1/1998
1999,SC,Aug,51,1/1/1999
2000,SC,Aug,69,1/1/2000
2001,SC,Aug,24,1/1/2001
2002,SC,Aug,702,1/1/2002
2003,SC,Aug,1.513,1/1/2003
2004,SC,Aug,728,1/1/2004
2005,SC,Aug,391,1/1/2005
2006,SC,Aug,728,1/1/2006
2007,SC,Aug,462,1/1/2007
2008,SC,Aug,51,1/1/2008
2009,SC,Aug,759,1/1/2009
2010,SC,Aug,511,1/1/2010
2011,SC,Aug,175,1/1/2011
2012,SC,Aug,398,1/1/2012
2013,SC,Aug,236,1/1/2013
2014,SC,Aug,459,1/1/2014
2015,SC,Aug,379,1/1/2015
2016,SC,Aug,765,1/1/2016
2017,SC,Aug,713,1/1/2017
1998,SC,Sep,6,1/1/1998
1999,SC,Sep,101,1/1/1999
2000,SC,Sep,36,1/1/2000
2001,SC,Sep,18,1/1/2001
2002,SC,Sep,416,1/1/2002
2003,SC,Sep,1.339,1/1/2003
2004,SC,Sep,755,1/1/2004
2005,SC,Sep,116,1/1/2005
2006,SC,Sep,530,1/1/2006
2007,SC,Sep,617,1/1/2007
2008,SC,Sep,233,1/1/2008
2009,SC,Sep,47,1/1/2009
2010,SC,Sep,198,1/1/2010
2011,SC,Sep,450,1/1/2011
2012,SC,Sep,188,1/1/2012
2013,SC,Sep,303,1/1/2013
2014,SC,Sep,208,1/1/2014
2015,SC,Sep,156,1/1/2015
2016,SC,Sep,644,1/1/2016
2017,SC,Sep,626,1/1/2017
1998,SC,Oct,4,1/1/1998
1999,SC,Oct,16,1/1/1999
2000,SC,Oct,55,1/1/2000
2001,SC,Oct,26,1/1/2001
2002,SC,Oct,42,1/1/2002
2003,SC,Oct,669,1/1/2003
2004,SC,Oct,704,1/1/2004
2005,SC,Oct,197,1/1/2005
2006,SC,Oct,269,1/1/2006
2007,SC,Oct,35,1/1/2007
2008,SC,Oct,56,1/1/2008
2009,SC,Oct,252,1/1/2009
2010,SC,Oct,76,1/1/2010
2011,SC,Oct,102,1/1/2011
2012,SC,Oct,34,1/1/2012
2013,SC,Oct,107,1/1/2013
2014,SC,Oct,122,1/1/2014
2015,SC,Oct,21,1/1/2015
2016,SC,Oct,56,1/1/2016
2017,SC,Oct,51,1/1/2017
1998,SC,Nov,21,1/1/1998
1999,SC,Nov,84,1/1/1999
2000,SC,Nov,19,1/1/2000
2001,SC,Nov,66,1/1/2001
2002,SC,Nov,348,1/1/2002
2003,SC,Nov,347,1/1/2003
2004,SC,Nov,279,1/1/2004
2005,SC,Nov,384,1/1/2005
2006,SC,Nov,45,1/1/2006
2007,SC,Nov,26,1/1/2007
2008,SC,Nov,16,1/1/2008
2009,SC,Nov,61,1/1/2009
2010,SC,Nov,88,1/1/2010
2011,SC,Nov,79,1/1/2011
2012,SC,Nov,72,1/1/2012
2013,SC,Nov,84,1/1/2013
2014,SC,Nov,43,1/1/2014
2015,SC,Nov,9,1/1/2015
2016,SC,Nov,156,1/1/2016
2017,SC,Nov,152,1/1/2017
1998,SC,Dec,26,1/1/1998
1999,SC,Dec,89,1/1/1999
2000,SC,Dec,29,1/1/2000
2001,SC,Dec,45,1/1/2001
2002,SC,Dec,76,1/1/2002
2003,SC,Dec,129,1/1/2003
2004,SC,Dec,68,1/1/2004
2005,SC,Dec,17,1/1/2005
2006,SC,Dec,7,1/1/2006
2007,SC,Dec,17,1/1/2007
2008,SC,Dec,29,1/1/2008
2009,SC,Dec,20,1/1/2009
2010,SC,Dec,23,1/1/2010
2011,SC,Dec,24,1/1/2011
2012,SC,Dec,32,1/1/2012
2013,SC,Dec,74,1/1/2013
2014,SC,Dec,45,1/1/2014
2015,SC,Dec,19,1/1/2015
2016,SC,Dec,20,1/1/2016
1998,SP,Jan,0,1/1/1998
1999,SP,Jan,7,1/1/1999
2000,SP,Jan,36,1/1/2000
2001,SP,Jan,26,1/1/2001
2002,SP,Jan,19,1/1/2002
2003,SP,Jan,59,1/1/2003
2004,SP,Jan,37,1/1/2004
2005,SP,Jan,26,1/1/2005
2006,SP,Jan,76,1/1/2006
2007,SP,Jan,14,1/1/2007
2008,SP,Jan,34,1/1/2008
2009,SP,Jan,12,1/1/2009
2010,SP,Jan,45,1/1/2010
2011,SP,Jan,75,1/1/2011
2012,SP,Jan,38,1/1/2012
2013,SP,Jan,36,1/1/2013
2014,SP,Jan,99,1/1/2014
2015,SP,Jan,120,1/1/2015
2016,SP,Jan,85,1/1/2016
2017,SP,Jan,28,1/1/2017
1998,SP,Fev,0,1/1/1998
1999,SP,Fev,47,1/1/1999
2000,SP,Fev,25,1/1/2000
2001,SP,Fev,25,1/1/2001
2002,SP,Fev,19,1/1/2002
2003,SP,Fev,137,1/1/2003
2004,SP,Fev,41,1/1/2004
2005,SP,Fev,78,1/1/2005
2006,SP,Fev,59,1/1/2006
2007,SP,Fev,96,1/1/2007
2008,SP,Fev,30,1/1/2008
2009,SP,Fev,65,1/1/2009
2010,SP,Fev,152,1/1/2010
2011,SP,Fev,73,1/1/2011
2012,SP,Fev,81,1/1/2012
2013,SP,Fev,100,1/1/2013
2014,SP,Fev,112,1/1/2014
2015,SP,Fev,69,1/1/2015
2016,SP,Fev,188,1/1/2016
2017,SP,Fev,107,1/1/2017
1998,SP,Mar,0,1/1/1998
1999,SP,Mar,78,1/1/1999
2000,SP,Mar,26,1/1/2000
2001,SP,Mar,35,1/1/2001
2002,SP,Mar,111,1/1/2002
2003,SP,Mar,86,1/1/2003
2004,SP,Mar,73,1/1/2004
2005,SP,Mar,73,1/1/2005
2006,SP,Mar,106,1/1/2006
2007,SP,Mar,152,1/1/2007
2008,SP,Mar,72,1/1/2008
2009,SP,Mar,55,1/1/2009
2010,SP,Mar,111,1/1/2010
2011,SP,Mar,45,1/1/2011
2012,SP,Mar,99,1/1/2012
2013,SP,Mar,57,1/1/2013
2014,SP,Mar,75,1/1/2014
2015,SP,Mar,68,1/1/2015
2016,SP,Mar,82,1/1/2016
2017,SP,Mar,103,1/1/2017
1998,SP,Apr,0,1/1/1998
1999,SP,Apr,291,1/1/1999
2000,SP,Apr,102,1/1/2000
2001,SP,Apr,61,1/1/2001
2002,SP,Apr,178,1/1/2002
2003,SP,Apr,106,1/1/2003
2004,SP,Apr,36,1/1/2004
2005,SP,Apr,62,1/1/2005
2006,SP,Apr,63,1/1/2006
2007,SP,Apr,44,1/1/2007
2008,SP,Apr,84,1/1/2008
2009,SP,Apr,67,1/1/2009
2010,SP,Apr,91,1/1/2010
2011,SP,Apr,52,1/1/2011
2012,SP,Apr,82,1/1/2012
2013,SP,Apr,103,1/1/2013
2014,SP,Apr,103,1/1/2014
2015,SP,Apr,76,1/1/2015
2016,SP,Apr,307,1/1/2016
2017,SP,Apr,41,1/1/2017
1998,SP,May,0,1/1/1998
1999,SP,May,500,1/1/1999
2000,SP,May,300,1/1/2000
2001,SP,May,211,1/1/2001
2002,SP,May,319,1/1/2002
2003,SP,May,69,1/1/2003
2004,SP,May,60,1/1/2004
2005,SP,May,212,1/1/2005
2006,SP,May,88,1/1/2006
2007,SP,May,69,1/1/2007
2008,SP,May,40,1/1/2008
2009,SP,May,142,1/1/2009
2010,SP,May,150,1/1/2010
2011,SP,May,136,1/1/2011
2012,SP,May,82,1/1/2012
2013,SP,May,118,1/1/2013
2014,SP,May,181,1/1/2014
2015,SP,May,65,1/1/2015
2016,SP,May,139,1/1/2016
2017,SP,May,43,1/1/2017
1998,SP,Jun,451,1/1/1998
1999,SP,Jun,522,1/1/1999
2000,SP,Jun,606,1/1/2000
2001,SP,Jun,346,1/1/2001
2002,SP,Jun,562,1/1/2002
2003,SP,Jun,132,1/1/2003
2004,SP,Jun,231,1/1/2004
2005,SP,Jun,236,1/1/2005
2006,SP,Jun,97,1/1/2006
2007,SP,Jun,91,1/1/2007
2008,SP,Jun,25,1/1/2008
2009,SP,Jun,125,1/1/2009
2010,SP,Jun,143,1/1/2010
2011,SP,Jun,210,1/1/2011
2012,SP,Jun,30,1/1/2012
2013,SP,Jun,47,1/1/2013
2014,SP,Jun,331,1/1/2014
2015,SP,Jun,147,1/1/2015
2016,SP,Jun,197,1/1/2016
2017,SP,Jun,217,1/1/2017
1998,SP,Jul,596,1/1/1998
1999,SP,Jul,684,1/1/1999
2000,SP,Jul,770,1/1/2000
2001,SP,Jul,538,1/1/2001
2002,SP,Jul,448,1/1/2002
2003,SP,Jul,171,1/1/2003
2004,SP,Jul,342,1/1/2004
2005,SP,Jul,284,1/1/2005
2006,SP,Jul,245,1/1/2006
2007,SP,Jul,94,1/1/2007
2008,SP,Jul,126,1/1/2008
2009,SP,Jul,110,1/1/2009
2010,SP,Jul,600,1/1/2010
2011,SP,Jul,479,1/1/2011
2012,SP,Jul,179,1/1/2012
2013,SP,Jul,181,1/1/2013
2014,SP,Jul,476,1/1/2014
2015,SP,Jul,149,1/1/2015
2016,SP,Jul,687,1/1/2016
2017,SP,Jul,802,1/1/2017
1998,SP,Aug,581,1/1/1998
1999,SP,Aug,1.211,1/1/1999
2000,SP,Aug,915,1/1/2000
2001,SP,Aug,595,1/1/2001
2002,SP,Aug,719,1/1/2002
2003,SP,Aug,934,1/1/2003
2004,SP,Aug,794,1/1/2004
2005,SP,Aug,522,1/1/2005
2006,SP,Aug,572,1/1/2006
2007,SP,Aug,470,1/1/2007
2008,SP,Aug,153,1/1/2008
2009,SP,Aug,289,1/1/2009
2010,SP,Aug,1.809,1/1/2010
2011,SP,Aug,1.067,1/1/2011
2012,SP,Aug,435,1/1/2012
2013,SP,Aug,497,1/1/2013
2014,SP,Aug,1.458,1/1/2014
2015,SP,Aug,643,1/1/2015
2016,SP,Aug,797,1/1/2016
2017,SP,Aug,981,1/1/2017
1998,SP,Sep,525,1/1/1998
1999,SP,Sep,911,1/1/1999
2000,SP,Sep,582,1/1/2000
2001,SP,Sep,425,1/1/2001
2002,SP,Sep,302,1/1/2002
2003,SP,Sep,977,1/1/2003
2004,SP,Sep,809,1/1/2004
2005,SP,Sep,231,1/1/2005
2006,SP,Sep,694,1/1/2006
2007,SP,Sep,495,1/1/2007
2008,SP,Sep,486,1/1/2008
2009,SP,Sep,116,1/1/2009
2010,SP,Sep,1.677,1/1/2010
2011,SP,Sep,1.108,1/1/2011
2012,SP,Sep,813,1/1/2012
2013,SP,Sep,560,1/1/2013
2014,SP,Sep,882,1/1/2014
2015,SP,Sep,368,1/1/2015
2016,SP,Sep,490,1/1/2016
2017,SP,Sep,2.868,1/1/2017
1998,SP,Oct,434,1/1/1998
1999,SP,Oct,763,1/1/1999
2000,SP,Oct,647,1/1/2000
2001,SP,Oct,444,1/1/2001
2002,SP,Oct,733,1/1/2002
2003,SP,Oct,422,1/1/2003
2004,SP,Oct,195,1/1/2004
2005,SP,Oct,221,1/1/2005
2006,SP,Oct,153,1/1/2006
2007,SP,Oct,281,1/1/2007
2008,SP,Oct,87,1/1/2008
2009,SP,Oct,64,1/1/2009
2010,SP,Oct,260,1/1/2010
2011,SP,Oct,188,1/1/2011
2012,SP,Oct,206,1/1/2012
2013,SP,Oct,127,1/1/2013
2014,SP,Oct,887,1/1/2014
2015,SP,Oct,213,1/1/2015
2016,SP,Oct,177,1/1/2016
2017,SP,Oct,179,1/1/2017
1998,SP,Nov,488,1/1/1998
1999,SP,Nov,398,1/1/1999
2000,SP,Nov,96,1/1/2000
2001,SP,Nov,168,1/1/2001
2002,SP,Nov,72,1/1/2002
2003,SP,Nov,155,1/1/2003
2004,SP,Nov,144,1/1/2004
2005,SP,Nov,163,1/1/2005
2006,SP,Nov,43,1/1/2006
2007,SP,Nov,50,1/1/2007
2008,SP,Nov,20,1/1/2008
2009,SP,Nov,83,1/1/2009
2010,SP,Nov,104,1/1/2010
2011,SP,Nov,87,1/1/2011
2012,SP,Nov,50,1/1/2012
2013,SP,Nov,120,1/1/2013
2014,SP,Nov,56,1/1/2014
2015,SP,Nov,21,1/1/2015
2016,SP,Nov,39,1/1/2016
2017,SP,Nov,37,1/1/2017
1998,SP,Dec,121,1/1/1998
1999,SP,Dec,47,1/1/1999
2000,SP,Dec,23,1/1/2000
2001,SP,Dec,52,1/1/2001
2002,SP,Dec,57,1/1/2002
2003,SP,Dec,58,1/1/2003
2004,SP,Dec,102,1/1/2004
2005,SP,Dec,15,1/1/2005
2006,SP,Dec,13,1/1/2006
2007,SP,Dec,21,1/1/2007
2008,SP,Dec,36,1/1/2008
2009,SP,Dec,37,1/1/2009
2010,SP,Dec,52,1/1/2010
2011,SP,Dec,53,1/1/2011
2012,SP,Dec,64,1/1/2012
2013,SP,Dec,109,1/1/2013
2014,SP,Dec,57,1/1/2014
2015,SP,Dec,45,1/1/2015
2016,SP,Dec,47,1/1/2016
1998,SE,Jan,0,1/1/1998
1999,SE,Jan,36,1/1/1999
2000,SE,Jan,1,1/1/2000
2001,SE,Jan,2,1/1/2001
2002,SE,Jan,1,1/1/2002
2003,SE,Jan,198,1/1/2003
2004,SE,Jan,16,1/1/2004
2005,SE,Jan,80,1/1/2005
2006,SE,Jan,36,1/1/2006
2007,SE,Jan,56,1/1/2007
2008,SE,Jan,100,1/1/2008
2009,SE,Jan,60,1/1/2009
2010,SE,Jan,29,1/1/2010
2011,SE,Jan,36,1/1/2011
2012,SE,Jan,39,1/1/2012
2013,SE,Jan,34,1/1/2013
2014,SE,Jan,20,1/1/2014
2015,SE,Jan,44,1/1/2015
2016,SE,Jan,9,1/1/2016
2017,SE,Jan,31,1/1/2017
1998,SE,Fev,0,1/1/1998
1999,SE,Fev,25,1/1/1999
2000,SE,Fev,6,1/1/2000
2001,SE,Fev,2,1/1/2001
2002,SE,Fev,6,1/1/2002
2003,SE,Fev,50,1/1/2003
2004,SE,Fev,10,1/1/2004
2005,SE,Fev,19,1/1/2005
2006,SE,Fev,36,1/1/2006
2007,SE,Fev,22,1/1/2007
2008,SE,Fev,67,1/1/2008
2009,SE,Fev,64,1/1/2009
2010,SE,Fev,33,1/1/2010
2011,SE,Fev,31,1/1/2011
2012,SE,Fev,34,1/1/2012
2013,SE,Fev,47,1/1/2013
2014,SE,Fev,18,1/1/2014
2015,SE,Fev,40,1/1/2015
2016,SE,Fev,22,1/1/2016
2017,SE,Fev,18,1/1/2017
1998,SE,Mar,0,1/1/1998
1999,SE,Mar,18,1/1/1999
2000,SE,Mar,6,1/1/2000
2001,SE,Mar,1,1/1/2001
2002,SE,Mar,7,1/1/2002
2003,SE,Mar,62,1/1/2003
2004,SE,Mar,36,1/1/2004
2005,SE,Mar,28,1/1/2005
2006,SE,Mar,41,1/1/2006
2007,SE,Mar,2,1/1/2007
2008,SE,Mar,43,1/1/2008
2009,SE,Mar,29,1/1/2009
2010,SE,Mar,44,1/1/2010
2011,SE,Mar,47,1/1/2011
2012,SE,Mar,71,1/1/2012
2013,SE,Mar,67,1/1/2013
2014,SE,Mar,33,1/1/2014
2015,SE,Mar,49,1/1/2015
2016,SE,Mar,26,1/1/2016
2017,SE,Mar,16,1/1/2017
1998,SE,Apr,0,1/1/1998
1999,SE,Apr,6,1/1/1999
2000,SE,Apr,1,1/1/2000
2001,SE,Apr,0,1/1/2001
2002,SE,Apr,12,1/1/2002
2003,SE,Apr,48,1/1/2003
2004,SE,Apr,13,1/1/2004
2005,SE,Apr,8,1/1/2005
2006,SE,Apr,9,1/1/2006
2007,SE,Apr,1,1/1/2007
2008,SE,Apr,2,1/1/2008
2009,SE,Apr,19,1/1/2009
2010,SE,Apr,1,1/1/2010
2011,SE,Apr,12,1/1/2011
2012,SE,Apr,40,1/1/2012
2013,SE,Apr,15,1/1/2013
2014,SE,Apr,7,1/1/2014
2015,SE,Apr,35,1/1/2015
2016,SE,Apr,14,1/1/2016
2017,SE,Apr,8,1/1/2017
1998,SE,May,0,1/1/1998
1999,SE,May,0,1/1/1999
2000,SE,May,0,1/1/2000
2001,SE,May,3,1/1/2001
2002,SE,May,0,1/1/2002
2003,SE,May,2,1/1/2003
2004,SE,May,5,1/1/2004
2005,SE,May,0,1/1/2005
2006,SE,May,0,1/1/2006
2007,SE,May,0,1/1/2007
2008,SE,May,0,1/1/2008
2009,SE,May,0,1/1/2009
2010,SE,May,0,1/1/2010
2011,SE,May,0,1/1/2011
2012,SE,May,17,1/1/2012
2013,SE,May,1,1/1/2013
2014,SE,May,1,1/1/2014
2015,SE,May,11,1/1/2015
2016,SE,May,9,1/1/2016
2017,SE,May,1,1/1/2017
1998,SE,Jun,0,1/1/1998
1999,SE,Jun,0,1/1/1999
2000,SE,Jun,0,1/1/2000
2001,SE,Jun,0,1/1/2001
2002,SE,Jun,0,1/1/2002
2003,SE,Jun,0,1/1/2003
2004,SE,Jun,0,1/1/2004
2005,SE,Jun,0,1/1/2005
2006,SE,Jun,0,1/1/2006
2007,SE,Jun,0,1/1/2007
2008,SE,Jun,0,1/1/2008
2009,SE,Jun,2,1/1/2009
2010,SE,Jun,0,1/1/2010
2011,SE,Jun,1,1/1/2011
2012,SE,Jun,3,1/1/2012
2013,SE,Jun,1,1/1/2013
2014,SE,Jun,0,1/1/2014
2015,SE,Jun,3,1/1/2015
2016,SE,Jun,1,1/1/2016
2017,SE,Jun,0,1/1/2017
1998,SE,Jul,0,1/1/1998
1999,SE,Jul,0,1/1/1999
2000,SE,Jul,0,1/1/2000
2001,SE,Jul,0,1/1/2001
2002,SE,Jul,0,1/1/2002
2003,SE,Jul,0,1/1/2003
2004,SE,Jul,0,1/1/2004
2005,SE,Jul,0,1/1/2005
2006,SE,Jul,0,1/1/2006
2007,SE,Jul,0,1/1/2007
2008,SE,Jul,0,1/1/2008
2009,SE,Jul,0,1/1/2009
2010,SE,Jul,0,1/1/2010
2011,SE,Jul,0,1/1/2011
2012,SE,Jul,1,1/1/2012
2013,SE,Jul,0,1/1/2013
2014,SE,Jul,0,1/1/2014
2015,SE,Jul,0,1/1/2015
2016,SE,Jul,0,1/1/2016
2017,SE,Jul,0,1/1/2017
1998,SE,Aug,0,1/1/1998
1999,SE,Aug,0,1/1/1999
2000,SE,Aug,0,1/1/2000
2001,SE,Aug,0,1/1/2001
2002,SE,Aug,2,1/1/2002
2003,SE,Aug,0,1/1/2003
2004,SE,Aug,0,1/1/2004
2005,SE,Aug,0,1/1/2005
2006,SE,Aug,0,1/1/2006
2007,SE,Aug,0,1/1/2007
2008,SE,Aug,0,1/1/2008
2009,SE,Aug,0,1/1/2009
2010,SE,Aug,0,1/1/2010
2011,SE,Aug,1,1/1/2011
2012,SE,Aug,0,1/1/2012
2013,SE,Aug,0,1/1/2013
2014,SE,Aug,0,1/1/2014
2015,SE,Aug,0,1/1/2015
2016,SE,Aug,6,1/1/2016
2017,SE,Aug,0,1/1/2017
1998,SE,Sep,0,1/1/1998
1999,SE,Sep,0,1/1/1999
2000,SE,Sep,0,1/1/2000
2001,SE,Sep,1,1/1/2001
2002,SE,Sep,0,1/1/2002
2003,SE,Sep,3,1/1/2003
2004,SE,Sep,0,1/1/2004
2005,SE,Sep,2,1/1/2005
2006,SE,Sep,0,1/1/2006
2007,SE,Sep,0,1/1/2007
2008,SE,Sep,0,1/1/2008
2009,SE,Sep,1,1/1/2009
2010,SE,Sep,0,1/1/2010
2011,SE,Sep,0,1/1/2011
2012,SE,Sep,1,1/1/2012
2013,SE,Sep,1,1/1/2013
2014,SE,Sep,4,1/1/2014
2015,SE,Sep,1,1/1/2015
2016,SE,Sep,2,1/1/2016
2017,SE,Sep,0,1/1/2017
1998,SE,Oct,0,1/1/1998
1999,SE,Oct,0,1/1/1999
2000,SE,Oct,3,1/1/2000
2001,SE,Oct,5,1/1/2001
2002,SE,Oct,20,1/1/2002
2003,SE,Oct,2,1/1/2003
2004,SE,Oct,3,1/1/2004
2005,SE,Oct,11,1/1/2005
2006,SE,Oct,3,1/1/2006
2007,SE,Oct,3,1/1/2007
2008,SE,Oct,0,1/1/2008
2009,SE,Oct,1,1/1/2009
2010,SE,Oct,1,1/1/2010
2011,SE,Oct,5,1/1/2011
2012,SE,Oct,1,1/1/2012
2013,SE,Oct,3,1/1/2013
2014,SE,Oct,3,1/1/2014
2015,SE,Oct,6,1/1/2015
2016,SE,Oct,10,1/1/2016
2017,SE,Oct,0,1/1/2017
1998,SE,Nov,12,1/1/1998
1999,SE,Nov,3,1/1/1999
2000,SE,Nov,0,1/1/2000
2001,SE,Nov,5,1/1/2001
2002,SE,Nov,57,1/1/2002
2003,SE,Nov,2,1/1/2003
2004,SE,Nov,41,1/1/2004
2005,SE,Nov,23,1/1/2005
2006,SE,Nov,5,1/1/2006
2007,SE,Nov,7,1/1/2007
2008,SE,Nov,17,1/1/2008
2009,SE,Nov,9,1/1/2009
2010,SE,Nov,16,1/1/2010
2011,SE,Nov,4,1/1/2011
2012,SE,Nov,6,1/1/2012
2013,SE,Nov,7,1/1/2013
2014,SE,Nov,9,1/1/2014
2015,SE,Nov,47,1/1/2015
2016,SE,Nov,17,1/1/2016
2017,SE,Nov,1,1/1/2017
1998,SE,Dec,8,1/1/1998
1999,SE,Dec,5,1/1/1999
2000,SE,Dec,0,1/1/2000
2001,SE,Dec,5,1/1/2001
2002,SE,Dec,103,1/1/2002
2003,SE,Dec,36,1/1/2003
2004,SE,Dec,66,1/1/2004
2005,SE,Dec,29,1/1/2005
2006,SE,Dec,17,1/1/2006
2007,SE,Dec,33,1/1/2007
2008,SE,Dec,14,1/1/2008
2009,SE,Dec,21,1/1/2009
2010,SE,Dec,19,1/1/2010
2011,SE,Dec,36,1/1/2011
2012,SE,Dec,18,1/1/2012
2013,SE,Dec,9,1/1/2013
2014,SE,Dec,9,1/1/2014
2015,SE,Dec,63,1/1/2015
2016,SE,Dec,36,1/1/2016
1998,TO,Jan,0,1/1/1998
1999,TO,Jan,36,1/1/1999
2000,TO,Jan,15,1/1/2000
2001,TO,Jan,19,1/1/2001
2002,TO,Jan,35,1/1/2002
2003,TO,Jan,35,1/1/2003
2004,TO,Jan,40,1/1/2004
2005,TO,Jan,66,1/1/2005
2006,TO,Jan,91,1/1/2006
2007,TO,Jan,34,1/1/2007
2008,TO,Jan,28,1/1/2008
2009,TO,Jan,43,1/1/2009
2010,TO,Jan,79,1/1/2010
2011,TO,Jan,14,1/1/2011
2012,TO,Jan,12,1/1/2012
2013,TO,Jan,50,1/1/2013
2014,TO,Jan,89,1/1/2014
2015,TO,Jan,186,1/1/2015
2016,TO,Jan,42,1/1/2016
2017,TO,Jan,61,1/1/2017
1998,TO,Fev,0,1/1/1998
1999,TO,Fev,1,1/1/1999
2000,TO,Fev,6,1/1/2000
2001,TO,Fev,6,1/1/2001
2002,TO,Fev,48,1/1/2002
2003,TO,Fev,15,1/1/2003
2004,TO,Fev,7,1/1/2004
2005,TO,Fev,27,1/1/2005
2006,TO,Fev,14,1/1/2006
2007,TO,Fev,8,1/1/2007
2008,TO,Fev,6,1/1/2008
2009,TO,Fev,21,1/1/2009
2010,TO,Fev,32,1/1/2010
2011,TO,Fev,13,1/1/2011
2012,TO,Fev,45,1/1/2012
2013,TO,Fev,37,1/1/2013
2014,TO,Fev,73,1/1/2014
2015,TO,Fev,65,1/1/2015
2016,TO,Fev,383,1/1/2016
2017,TO,Fev,25,1/1/2017
1998,TO,Mar,0,1/1/1998
1999,TO,Mar,1,1/1/1999
2000,TO,Mar,4,1/1/2000
2001,TO,Mar,0,1/1/2001
2002,TO,Mar,33,1/1/2002
2003,TO,Mar,19,1/1/2003
2004,TO,Mar,23,1/1/2004
2005,TO,Mar,13,1/1/2005
2006,TO,Mar,11,1/1/2006
2007,TO,Mar,99,1/1/2007
2008,TO,Mar,4,1/1/2008
2009,TO,Mar,23,1/1/2009
2010,TO,Mar,120,1/1/2010
2011,TO,Mar,16,1/1/2011
2012,TO,Mar,80,1/1/2012
2013,TO,Mar,60,1/1/2013
2014,TO,Mar,58,1/1/2014
2015,TO,Mar,85,1/1/2015
2016,TO,Mar,165,1/1/2016
2017,TO,Mar,98,1/1/2017
1998,TO,Apr,0,1/1/1998
1999,TO,Apr,9,1/1/1999
2000,TO,Apr,0,1/1/2000
2001,TO,Apr,19,1/1/2001
2002,TO,Apr,37,1/1/2002
2003,TO,Apr,64,1/1/2003
2004,TO,Apr,52,1/1/2004
2005,TO,Apr,52,1/1/2005
2006,TO,Apr,4,1/1/2006
2007,TO,Apr,22,1/1/2007
2008,TO,Apr,46,1/1/2008
2009,TO,Apr,5,1/1/2009
2010,TO,Apr,419,1/1/2010
2011,TO,Apr,106,1/1/2011
2012,TO,Apr,226,1/1/2012
2013,TO,Apr,130,1/1/2013
2014,TO,Apr,187,1/1/2014
2015,TO,Apr,88,1/1/2015
2016,TO,Apr,369,1/1/2016
2017,TO,Apr,164,1/1/2017
1998,TO,May,0,1/1/1998
1999,TO,May,24,1/1/1999
2000,TO,May,69,1/1/2000
2001,TO,May,48,1/1/2001
2002,TO,May,138,1/1/2002
2003,TO,May,96,1/1/2003
2004,TO,May,350,1/1/2004
2005,TO,May,236,1/1/2005
2006,TO,May,35,1/1/2006
2007,TO,May,250,1/1/2007
2008,TO,May,81,1/1/2008
2009,TO,May,91,1/1/2009
2010,TO,May,580,1/1/2010
2011,TO,May,354,1/1/2011
2012,TO,May,467,1/1/2012
2013,TO,May,373,1/1/2013
2014,TO,May,618,1/1/2014
2015,TO,May,512,1/1/2015
2016,TO,May,778,1/1/2016
2017,TO,May,576,1/1/2017
1998,TO,Jun,252,1/1/1998
1999,TO,Jun,113,1/1/1999
2000,TO,Jun,278,1/1/2000
2001,TO,Jun,305,1/1/2001
2002,TO,Jun,396,1/1/2002
2003,TO,Jun,329,1/1/2003
2004,TO,Jun,1.079,1/1/2004
2005,TO,Jun,669,1/1/2005
2006,TO,Jun,289,1/1/2006
2007,TO,Jun,591,1/1/2007
2008,TO,Jun,282,1/1/2008
2009,TO,Jun,421,1/1/2009
2010,TO,Jun,767,1/1/2010
2011,TO,Jun,717,1/1/2011
2012,TO,Jun,922,1/1/2012
2013,TO,Jun,873,1/1/2013
2014,TO,Jun,1.372,1/1/2014
2015,TO,Jun,1.15,1/1/2015
2016,TO,Jun,1.148,1/1/2016
2017,TO,Jun,1.32,1/1/2017
1998,TO,Jul,640,1/1/1998
1999,TO,Jul,373,1/1/1999
2000,TO,Jul,500,1/1/2000
2001,TO,Jul,830,1/1/2001
2002,TO,Jul,976,1/1/2002
2003,TO,Jul,762,1/1/2003
2004,TO,Jul,1.389,1/1/2004
2005,TO,Jul,1.082,1/1/2005
2006,TO,Jul,430,1/1/2006
2007,TO,Jul,982,1/1/2007
